epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
0,6.800586680047137,2.5620387199876022,0.021939609013010654,0.17240575215608764,6.91028,0.184,0.8899999999809265,0,0,0,1.09e-05
1,6.616940817768149,inf,inf,inf,6.7374925,0.6399999999809265,2.377999999961853,0,0,0,2.08e-05
2,6.277760433445541,inf,inf,inf,6.57585125,1.0000000003051759,3.7600000009155274,0,0,0,3.07e-05
3,5.912076122183308,inf,inf,inf,6.3735375,1.6820000001525879,5.797999999084473,0,0,0,4.06e-05
4,5.591149567414245,inf,inf,inf,6.09182375,2.7559999996948243,8.769999999084472,0,0,0,5.05e-05
5,5.262234305115721,inf,inf,inf,5.68778,4.883999999542237,14.122000003051758,0,0,0,6.0400000000000004e-05
6,4.890513815754037,inf,inf,inf,5.2001125,8.522000002746582,21.696,0,0,0,7.03e-05
7,4.508857645481515,inf,inf,inf,4.732915,13.020000006713866,30.0840000012207,0,0,0,8.02e-05
8,4.156880875952619,inf,inf,inf,4.237268125,18.692000005493163,39.2239999987793,0,0,0,9.010000000000001e-05
9,3.8475863661030405,inf,inf,inf,3.73423125,25.742000010986327,48.94200001586914,0,0,0,9.964516155915151e-05
10,3.5785363968804207,inf,inf,inf,3.268328125,32.697999998779295,57.592000020751954,0,0,0,9.95707641563493e-05
11,3.347979399416563,inf,inf,inf,2.856955,39.5379999987793,64.86399999023438,0,0,0,9.948932851320614e-05
12,3.1589359576753577,inf,inf,inf,2.5241725,45.27400000610351,70.39799999267578,0,0,0,9.940086748935406e-05
13,2.9998210690480818,inf,inf,inf,2.2657615625,49.85600001464844,74.45799998779297,0,0,0,9.930539505381425e-05
14,2.862902239548693,inf,inf,inf,2.0653234375,53.77000000366211,77.52400002685548,0,0,0,9.9202926282791e-05
15,2.7470354099067853,inf,inf,inf,1.9068525,56.972000020751956,79.95199999023437,0,0,0,9.909347735729111e-05
16,2.6432600913287922,inf,inf,inf,1.7801346875,59.64200000244141,81.88199998535156,0,0,0,9.897706556056872e-05
17,2.557004300524577,inf,inf,inf,1.6805884375,61.68400002441406,83.35800003173829,0,0,0,9.885370927539598e-05
18,2.4781877146445686,inf,inf,inf,1.601373125,63.417999997558596,84.41400002929687,0,0,0,9.872342798116033e-05
19,2.4057956600456025,inf,inf,inf,1.5372759375,64.74000001708984,85.28,0,0,0,9.858624225078841e-05
20,2.342809242882031,9.238362486318623,0.16922636001842387,0.5065190782792849,1.4851890625,65.80000001708984,86.00000002441406,0,0,0,9.844217374749732e-05
21,2.283842634906967,inf,inf,inf,1.443895625,66.61399999267579,86.60399999755859,0,0,0,9.829124522137387e-05
22,2.233838286760042,inf,inf,inf,1.410703125,67.27399999023437,87.03999999267577,0,0,0,9.813348050578192e-05
23,2.182964542548624,inf,inf,inf,1.38389125,67.85399999267578,87.37600001708985,0,0,0,9.796890451359894e-05
24,2.139716611920501,inf,inf,inf,1.3635440625,68.43599999023438,87.65599999023438,0,0,0,9.779754323328192e-05
25,2.0971557723341894,inf,inf,inf,1.347505,68.73199998779297,87.87400001220703,0,0,0,9.76194237247635e-05
26,2.0591310638127376,inf,inf,inf,1.336510625,69.05199998779297,88.14000003662109,0,0,0,9.74345741151789e-05
27,2.027157326396421,inf,inf,inf,1.328868125,69.29000001220703,88.29199998779296,0,0,0,9.724302359442434e-05
28,1.9936486136713187,inf,inf,inf,1.3246125,69.45600001708985,88.42199998779297,0,0,0,9.704480241054755e-05
29,1.962270005572614,inf,inf,inf,1.32167125,69.69600001708984,88.51400003417969,0,0,0,9.683994186497131e-05
30,1.9344310513693843,inf,inf,inf,1.3230484375,69.86999998779297,88.53000000732422,0,0,0,9.662847430755062e-05
31,1.910042289540255,inf,inf,inf,1.326165625,70.06000001464844,88.58800003417969,0,0,0,9.641043313146417e-05
32,1.8857039429015108,inf,inf,inf,1.3330390625,70.02399999023437,88.54000003173829,0,0,0,9.618585276794129e-05
33,1.8640663933029755,inf,inf,inf,1.3407003125,70.12200001464844,88.54600002929688,0,0,0,9.595476868082481e-05
34,1.841984780953466,inf,inf,inf,1.346085625,70.14800001220704,88.56200003173828,0,0,0,9.571721736097089e-05
35,1.824730528153771,inf,inf,inf,1.3478496875,70.23399998779297,88.54800002929687,0,0,0,9.54732363204867e-05
36,1.8062152886848084,inf,inf,inf,1.349024375,70.29399998779297,88.51800000732422,0,0,0,9.522286408680687e-05
37,1.7888238996052914,inf,inf,inf,1.351515625,70.25400001708984,88.46000003173828,0,0,0,9.49661401966095e-05
38,1.7742265508138686,inf,inf,inf,1.35462625,70.25400001708984,88.47000000732422,0,0,0,9.47031051895729e-05
39,1.7586961670649899,inf,inf,inf,1.35717125,70.27800001464844,88.52200003173829,0,0,0,9.443380060197386e-05
40,1.7460417406355067,inf,inf,inf,1.3595940625,70.24800001708985,88.53000003173828,0,0,0,9.415826896012867e-05
41,1.731747897647077,5.074439404203261,0.13252537236951686,0.40773087323045465,1.362955625,70.21399999023437,88.54600003417968,0,0,0,9.387655377367758e-05
42,1.7205780943711217,inf,inf,inf,1.3659359375,70.37199999023437,88.48000003662109,0,0,0,9.358869952871436e-05
43,1.7079687647872883,inf,inf,inf,1.3675875,70.32000001708984,88.48200003417969,0,0,0,9.329475168076114e-05
44,1.6990259337387115,inf,inf,inf,1.368745625,70.34400001464844,88.47400003662109,0,0,0,9.299475664759068e-05
epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
45,1.6858537269057892,inf,inf,inf,1.3722546875,70.29999999267578,88.51000001220703,0,0,0,9.268876180189639e-05
46,1.6769409021027655,inf,inf,inf,1.3753434375,70.40199999267578,88.52200003173829,0,0,0,9.237681546381157e-05
47,1.669465111313964,inf,inf,inf,1.376279375,70.38999999267578,88.54000003417968,0,0,0,9.205896689327923e-05
48,1.659405425441065,inf,inf,inf,1.37727625,70.37600001953125,88.55400003173828,0,0,0,9.173526628227329e-05
