epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
0,6.823013580293297,0.9999993500902022,0.0085183490416732,0.07286691213462898,6.91262625,0.188,0.8619999999809265,0,0,0,1.09e-05
1,6.686618580997323,nan,nan,0.0615955425603546,6.74501,0.6419999999809265,2.4099999999809265,0,0,0,2.08e-05
2,6.500687764798232,nan,nan,0.08002966974558924,6.61451,0.8939999999427796,3.4799999989318846,0,0,0,3.07e-05
3,6.300914339024386,nan,nan,0.10641370868856767,6.4540425,1.419999999885559,5.161999999542236,0,0,0,4.06e-05
4,6.075982253519084,nan,nan,0.10957662334187711,6.22208625,2.402000000152588,7.552000002441407,0,0,0,5.05e-05
5,5.821249335789852,0.9999996936149734,0.008087204515393525,0.10103227612045076,5.89794875,3.9899999996948243,11.701999998168946,0,0,0,6.0400000000000004e-05
6,5.5561781710953255,nan,nan,0.08837145726404173,5.50086125,6.454000003051758,17.58600000793457,0,0,0,7.03e-05
7,5.239273282073194,0.9999998527512752,0.008727613984740448,0.07622902954278661,5.10772,9.776000002746581,24.08000000854492,0,0,0,8.02e-05
8,4.961851701843177,nan,nan,0.06963986372031707,4.68632125,14.17000000061035,31.880000006103515,0,0,0,9.010000000000001e-05
9,4.620301642673288,nan,nan,0.06206742051146109,4.19783125,20.05800000305176,41.168000017089845,0,0,0,9.964516155915151e-05
10,4.35324598902421,0.9999999082345756,0.011485406240593595,0.05471563143141979,3.701538125,27.200000004882813,50.682000012207034,0,0,0,9.95707641563493e-05
11,4.109051072721382,nan,nan,nan,3.238904375,34.25999999633789,59.26600003173828,0,0,0,9.948932851320614e-05
12,3.888835248043783,nan,nan,nan,2.829818125,40.948,66.30400000488281,0,0,0,9.940086748935406e-05
13,3.7150530437771363,nan,nan,nan,2.495256875,46.66600001708984,71.43000002197266,0,0,0,9.930539505381425e-05
14,3.5735764618781354,nan,nan,nan,2.236591875,51.06400000732422,75.39600003417969,0,0,0,9.9202926282791e-05
15,3.473040050549282,nan,nan,nan,2.0413709375,54.8639999987793,78.32200002197266,0,0,0,9.909347735729111e-05
16,3.3601980021626923,nan,nan,0.04214135443882572,1.889756875,57.766000017089844,80.68599998779297,0,0,0,9.897706556056872e-05
17,3.2695402785552017,nan,nan,nan,1.768425,60.28000001220703,82.53600000976563,0,0,0,9.885370927539598e-05
18,3.2105881157729455,nan,nan,nan,1.6689428125,62.344000024414065,83.93200000488281,0,0,0,9.872342798116033e-05
19,3.114574022811475,nan,nan,nan,1.58726375,64.07000001953125,85.07600002685547,0,0,0,9.858624225078841e-05
20,3.0580766157185337,nan,nan,nan,1.518794375,65.43999999511719,86.03800002197265,0,0,0,9.844217374749732e-05
21,2.9541380010920464,nan,nan,nan,1.4613646875,66.57000001953125,86.81600001708985,0,0,0,9.829124522137387e-05
22,2.9406584521277632,0.9999998602078115,0.019017600350829385,0.05025236155438743,1.4118240625,67.60000002197266,87.52600001953125,0,0,0,9.813348050578192e-05
23,2.900757753401161,nan,nan,nan,1.3689440625,68.49799999023438,88.09000001708985,0,0,0,9.796890451359894e-05
24,2.82582165240098,nan,nan,nan,1.3326390625,69.17600001464844,88.53599999267578,0,0,0,9.779754323328192e-05
